Artist,Songs,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
killing joke,1,post-punk,industrial,new wave,industrial rock,rock
killswitch engage,1,metalcore,metal,seen live,hardcore,Melodic Death Metal
kingdom collapse,1,alternative metal,metalcore,Nu Metal,,
kings of leon,1,rock,indie,indie rock,alternative,seen live
kiss,14,hard rock,classic rock,glam rock,rock,80s
kix,1,hard rock,Glam Metal,Glam Metal,80s,rock
korn,26,Nu Metal,metal,alternative,rock,Nu-metal
kobra and the lotus,1,heavy metal,hard rock,Power metal,metal,female vocalist
kool & the gang,3,funk,Disco,soul,male vocalists,seen live
l.a. guns,2,hard rock,Glam Metal,glam rock,80s,rock
l.s. dunes,1,post-hardcore,alternative rock,emo,seen live,Progressive rock
l7,1,Grunge,riot grrrl,punk,female vocalist,rock
lacey sturm,2,christian rock,alternative rock,female vocalist,christian,post-grunge
lacuna coil,11,Gothic Metal,metal,Female fronted metal,female vocalist,Gothic
lamb of god,1,metalcore,groove metal,metal,thrash metal,death metal
lansdowne,1,alternative rock,modern rock,alternative,rock,seen live
led zeppelin,8,classic rock,rock,hard rock,70s,Progressive rock
ledger,1,rock,british,female vocalist,pop rock,Skillet
leeds,1,Ballad,easy listening,covers,pop,female vocalist
lenny kravitz,4,rock,funk,alternative,pop,alternative rock
leo moracchioli,21,metal,norwegian,hard rock,metal,heavy metal
less than jake,2,ska,seen live,ska punk,punk,punk rock
letlive,1,post-hardcore,experimental,seen live,hardcore,progressive hardcore
lisa,1,j-pop,japanese,Hip-Hop,female vocalist,k-pop
liam gallagher,2,britpop,rock,british,seen live,god
like a storm,2,alternative rock,hard rock,rock,seen live,alternative
lilith czar,1,rock,alternative rock,hard rock,seen live,industrial rock
lillasyster,1,seen live,hard rock,swedish,rock,hardcore
lily allen,1,pop,female vocalist,british,britpop,singer-songwriter
lime cordiale,1,indie,australian,indie pop,seen live,indie rock
limp bizkit,9,Nu Metal,rapcore,rock,alternative,metal
lindemann,1,industrial metal,industrial,metal,german,swedish
linea 77,1,Nu Metal,crossover,italian,rapcore,alternative
linkin park,24,rock,Nu Metal,alternative rock,alternative,metal
lipps inc,1,funk,Disco,80s,funky town,70s
lit,1,rock,alternative rock,alternative,pop punk,punk
litfiba,2,rock,italian,new wave,italian rock,alternative rock
little big,4,electronic,Rave,russian,govno,seen live
liverpool,2,rock gaucho,psychedelic,brazil,brazil,brazil
living in fiction,2,post-hardcore,alternative rock,us,utah,heavy alternative rock
loikaemie,1,Oi,punk,Skinhead,german,punk rock
lord of the lost,1,Gothic Rock,Gothic Metal,german,glam rock,seen live
lordi,1,hard rock,heavy metal,finnish,metal,seen live
los fabulosos cadillacs,1,ska,argentina,Rock Argentino,latin,rock
lost in sight,1,metalcore,rock,alternative,heavy,
lostprophets,2,rock,alternative rock,alternative,seen live,emo
louis prima,1,swing,jazz,Big Band,lounge,jazz vocal
louna,4,alternative,alternative rock,russian,Nu-metal,russian alternative
loveless,1,japanese,anime,J-rock,Post-Black Metal,female vocalist
lower than atlantis,3,hardcore,melodic hardcore,seen live,british,post-hardcore
luciano pavarotti,1,opera,Classical,tenor,italian,Italian Opera
lucky chops,2,brass,instrumental,brass band,seen live,jazz
lupa,1,chinese,electronic,reggae,Fusion,techno
lynyrd skynyrd,1,classic rock,Southern Rock,rock,hard rock,70s
mgmt,1,electronic,indie,psychedelic,alternative,indie pop
monatik,4,pop,Ukrainian,seen live,Ukraine,dance
machine gun kelly,3,Hip-Hop,rap,pop punk,Cleveland,Hip-Hop
madball,1,hardcore,nyhc,seen live,hardcore punk,metalcore
madness,1,ska,80s,british,new wave,seen live
maeder,3,hard rock,seen live,rock,under 2000 listeners,investigate
maglore,1,indie,alternative rock,brazil,rock,Bahia Rock
mamonas assassinas,1,rock,brazil,comedy,brazil,humour
mancha verde,5,carnaval,palmeiras,A MANCHA ESTA EM FESTA,CHORA BIXARADA,MEU PALMEIRAS VI JOGA
manic street preachers,1,rock,britpop,seen live,alternative rock,indie
manowar,3,heavy metal,Power metal,metal,true metal,epic metal
mantra,1,chaotic hardcore,post-hardcore,thrash metal,Hip-Hop,psytrance
marilyn manson,7,industrial,industrial metal,metal,rock,alternative
maroon 5,2,rock,pop,pop rock,alternative,alternative rock
marsicans,1,indie rock,indie,seen live,indie pop,england
marvin gaye,2,soul,motown,funk,rhythm and blues,rnb
massacration,1,heavy metal,METAAAAAAAAAAAAAAAAAAAAAAAAAAAAAL,comedy,brazil,metal
mastodon,8,Progressive metal,metal,Sludge,seen live,sludge metal
matanza,12,countrycore,hardcore,brazil,rock,country
matchbook romance,1,emo,rock,alternative,punk,seen live
maximun the hormone,1,punk,maximun the hormone,japan,hardcore punk,mistagged
mayday parade,1,pop punk,emo,rock,alternative,alternative rock
me first and the gimme gimmes,2,punk,punk rock,covers,seen live,punk covers
meagdeth,1,tornado of souls,,,,
medulla,1,metalcore,rock,russian,alternative metal,brazil
megadeth,22,thrash metal,heavy metal,metal,speed metal,seen live
megaraptor,1,metal,instrumental,Soundtrack,instrumental rock,Nintendocore
melvins,1,Sludge,Grunge,Stoner Rock,rock,metal
memphis may fire,1,post-hardcore,metalcore,Southern Rock,screamo,hardcore
menores atos,1,post-hardcore,emo,melodic hardcore,alternative rock,seen live
metallica,17,thrash metal,metal,heavy metal,hard rock,rock
michael jackson,2,pop,80s,dance,soul,funk
mick jagger,2,rock,classic rock,british,singer-songwriter,male vocalists
mike shinoda,2,Hip-Hop,rock,alternative rock,rap,alternative
milan,1,azeri rock,azerbaijan,rock,AzRock,azeri
miles kane,1,british,indie rock,indie,rock,seen live
millencolin,2,punk rock,seen live,punk,skate punk,swedish
minerva,1,seen live,metal,Nu Metal,Nu-metal,hardcore
mingus big band,1,jazz,Big Band,mingus,bass,genius
misfits,1,horror punk,punk,punk rock,hardcore punk,hardcore
missio,1,electronic,alternative,american,alternative rock,electronic
miyavi,2,J-rock,japanese,visual kei,jrock,Miyavi
mod sun,1,pop punk,Hip-Hop,seen live,rap,hippy hop
modern baseball,2,emo,pop punk,indie,punk,seen live
modestep & teddy killerz,1,dubstep,,,,
molho negro,10,rock,brazil,rock n roll,Power Trio,brazil
molotov,3,rapcore,rock,alternative,mexican,latin
moptop,2,indie,rock,brazil,indie rock,alternative
moscow death brigade,3,underground hip-hop,Hip-Hop,hardcore hip-hop,antifa,rap
motionless in white,8,metalcore,post-hardcore,screamo,hardcore,metal
motley crue,1,hard rock,heavy metal,glam rock,Glam Metal,80s
motorocker,2,hard rock,rock n roll,brazil,rock,heavy metal
motörhead,30,heavy metal,hard rock,metal,speed metal,seen live
mountain,1,classic rock,hard rock,blues rock,rock,Southern Rock
mowgly,2,jungle,Ragga Jungle,Drum and bass,Drum and bass,breakbeat
mud,1,glam rock,70s,rock,classic rock,oldies
muddy waters,1,blues,Chicago Blues,Classic Blues,delta blues,guitar
mudvayne,1,Nu Metal,metal,alternative metal,Nu-metal,rock
mulamba,1,girl power,female,rock,brazil,brazil
muse,43,alternative rock,rock,alternative,Progressive rock,seen live
mushroomhead,1,Nu Metal,metal,alternative metal,industrial metal,industrial
mxpx,3,punk,punk rock,seen live,pop punk,rock
my chemical romance,11,rock,emo,alternative,punk rock,punk
my darkest days,3,alternative rock,post-grunge,rock,modern rock,alternative
myles kennedy,1,rock,folk,blues,hard rock,post-grunge
myrath,6,Progressive metal,oriental metal,tunisian,folk metal,metal
måneskin,9,rock,glam rock,italian,Funk Rock,alternative rock
mötley crüe,4,hard rock,heavy metal,Glam Metal,80s,rock
nofx,7,punk,punk rock,seen live,ska punk,ska
nx zero,5,rock,emo,brazil,emocore,hardcore
nazareth,1,classic rock,hard rock,rock,70s,heavy metal
neck deep,1,pop punk,punk rock,rock,hardcore,alternative rock
neffex,1,electronic,Hip-Hop,alternative,rap,american
nem liminha ouviu,1,rock n roll,brazil,,,
nervosa,1,thrash metal,Female fronted metal,brazil,seen live,Brazilian thrash metal
nevermore,1,Progressive metal,thrash metal,metal,Power metal,heavy metal
new found glory,4,pop punk,seen live,punk,punk rock,rock
new years day,2,female vocalist,pop punk,rock,alternative,alternative rock
new york dolls,1,glam rock,punk,proto-punk,punk rock,rock
nickelback,10,rock,alternative rock,hard rock,alternative,canada
nico vega,4,female vocalist,indie rock,rock,indie,alternative
night spins,3,garage pop,,,,
nightwish,2,symphonic metal,Power metal,Gothic Metal,metal,Female fronted metal
nik nocturnal,1,metalcore,Progressive metal,Nu Metal,Progressive Metalcore,canada
nine inch nails,3,industrial,industrial rock,rock,alternative,electronic
nine lashes,5,alternative rock,post-grunge,alternative metal,alternative,Progressive rock
nirvana,11,Grunge,rock,alternative,alternative rock,90s
no doubt,3,rock,pop,ska,alternative,female vocalist
no resolve,2,modern rock,alternative rock,post-grunge,rock,american
no vacancy,1,rock,hard rock,Soundtrack,alternative rock,fictional
noize mc,1,Hip-Hop,rapcore,rap,russian,russian rap
nonpoint,3,Nu Metal,metal,hard rock,rock,Nu-metal
norman greenbaum,1,classic rock,rock,70s,60s,oldies
northward,1,black metal,atmospheric black metal,hard rock,depressive black metal,rock
nothing but thieves,8,seen live,alternative rock,rock,indie rock,indie
nothing more,5,Progressive rock,alternative rock,alternative metal,rock,alternative
nova twins,3,punk,punk rock,Nu Metal,Hip-Hop,seen live
nove zero nove,1,rock,brazil,male vocalists,,
o grilo,5,indie rock,indie,rock,alternative,alternative rock
o surto,2,rock,brazil,hardcore,punk rock,brazil
ok go,3,indie,indie rock,rock,alternative,seen live
oasis,4,britpop,rock,british,alternative,indie
ocean grove,2,Nu Metal,hardcore,metalcore,alternative metal,australian
odio,1,punk,hardcore,hardcore punk,d-beat,raw punk
of mice & men,2,post-hardcore,metalcore,seen live,alternative metal,not screamo
official hige dandism,2,japanese,j-pop,pop rock,J-rock,Soundtrack
oliver tree,1,electronic,electropop,indie pop,Hip-Hop,pop rock
once monsters,2,alternative,Nice music,discoverunsigned,,
one ok rock,2,J-rock,japanese,rock,jrock,japanese rock
one republic,1,alternative,indie,pop rock,rock,alternative rock
oomph!,1,industrial metal,industrial,german,metal,rock
origem da alma,1,RapMetal,Nu Metal,,,
os seminovos,2,rock,humor,brazil,alternative,punk rock
our lady peace,2,rock,alternative,alternative rock,canada,seen live
our last night,17,post-hardcore,screamo,emocore,hardcore,emo
our waking hour,2,alternative rock,modern rock,alternative metal,rock,alternative
out of black,2,hard rock,alternative metal,christian,,
outkast,1,Hip-Hop,rap,funk,Hip-Hop,soul
ozzy osbourne,12,heavy metal,hard rock,metal,classic rock,rock
p.o.d.,7,Nu Metal,rapcore,rock,alternative,metal
palaye royale,4,alternative,alternative rock,canada,glam rock,indie rock
palina,1,Belarusian,indie,russian,experimental,3
palisades,1,post-hardcore,electronic,metalcore,screamo,emocore
panic! at the disco,3,rock,alternative,emo,pop punk,indie
panicland,4,canada,pop,punk,indie rock,punk rock
pantera,8,thrash metal,metal,groove metal,heavy metal,Power metal
papa roach,20,rock,Nu Metal,alternative rock,alternative,metal
paramore,33,rock,pop punk,alternative,female vocalist,emo
parkway drive,1,metalcore,hardcore,seen live,melodic metalcore,australian
parliament,1,funk,p-funk,soul,70s,Psychedelic Soul
partizan,1,alternative rock,Romanian,rock,seen live,polish
patti labelle,2,soul,female vocalist,rnb,funk,70s
paul mccartney,3,classic rock,rock,british,singer-songwriter,pop
pearl jam,3,Grunge,rock,alternative rock,alternative,90s
pendulum,1,Drum and bass,electronic,Drum and bass,dnb,seen live
pennywise,7,punk,punk rock,seen live,hardcore,rock
pense,1,melodic hardcore,hardcore,hardcore melodico,brazil,hardcore do terceiro mundo
periphery,1,Progressive metal,DJENT,math metal,mathcore,Technical Metal
phantogram,1,trip-hop,electronic,indie,experimental,seen live
pharrell williams,1,Hip-Hop,rnb,rap,Hip-Hop,seen live
pierce the veil,14,post-hardcore,emocore,emo,experimental,seen live
pillar,1,christian rock,rock,alternative rock,christian,alternative
pink fly,1,post-grunge,,,,
pitty,12,rock,female vocalist,brazil,brazil,alternative rock
placebo,1,alternative rock,alternative,rock,seen live,indie
plain white t's,1,indie,rock,pop punk,alternative,seen live
player,1,70s,soft rock,rock,classic rock,Drum and bass
ploho,1,post-punk,coldwave,russian,Russian Post-Punk,seen live
poets of the fall,1,rock,alternative rock,finnish,alternative,seen live
poison,2,hard rock,Glam Metal,80s,rock,classic rock
pokey lafarge,1,seen live,folk,blues,singer-songwriter,ragtime
polyphia,1,Progressive metal,instrumental,DJENT,math metal,math rock
pomme,1,french,chanson,pop,folk,female vocalist
ponto nulo no céu,1,metalcore,Nu Metal,alternative metal,brazil,new metal
pop evil,6,post-grunge,alternative rock,hard rock,rock,alternative
poppy,1,pop,Nu Metal,metal,electropop,electronic
porcupine,1,hardcore,hardcore punk,chaotic hardcore,rock,alternative
pornofilm,1,nesodden,,,,
powerman 5000,2,industrial metal,metal,industrial,Nu Metal,rock
powerwolf,3,Power metal,heavy metal,german,metal,seen live
pretty vicious,6,Garage Rock,rock,alternative rock,indie rock,punk rock
priestess,4,Stoner Rock,hard rock,rock,canada,metal
primal fear,1,Power metal,heavy metal,speed metal,metal,german
primus,1,funk metal,alternative,alternative rock,rock,funk
project46,2,metalcore,groove metal,hardcore,brazil,metal
propagandhi,1,punk,punk rock,hardcore punk,political,hardcore
prophets of rage,9,seen live,rapcore,crossover,Hip-Hop,rap
psychedelic porn crumpets,2,Psychedelic Rock,Garage Rock,psychedelic,Stoner Rock,australian
psycho synner,1,satanic,industrial metal,industrial rock,art rock,avantgarde
puddle of mudd,1,rock,alternative rock,post-grunge,Grunge,alternative
purgen,2,punk,hardcore punk,russian punk,punk rock,punk hardcore
queen,10,classic rock,rock,80s,hard rock,glam rock
queens of the stone age,13,Stoner Rock,rock,alternative rock,seen live,hard rock
quiet riot,1,heavy metal,hard rock,Glam Metal,rock,metal
r.e.m.,2,rock,alternative rock,alternative,indie,seen live
rage against the machine,32,rock,alternative rock,alternative,political,metal
red hot chili peppers,90,rock,alternative rock,alternative,Funk Rock,funk
rpm,1,rock,80s,brazil,rock brasileiro,brazil
run dmc,2,Hip-Hop,old school,rap,80s,east coast rap
racing,3,rock,alternative,New Zealand,All,
raimundos,18,hardcore,rock,punk rock,brazil,brazil
rain paris,3,rock,electronic,pop,alternative rock,sexy
rainbow,1,hard rock,classic rock,heavy metal,rock,metal
raised fist,1,hardcore,seen live,hardcore punk,swedish,punk
rammstein,30,industrial metal,metal,industrial,german,rock
ramones,19,punk,punk rock,rock,70s,classic rock
rancid,3,punk,punk rock,ska punk,ska,seen live
rangers,1,Lo-Fi,psychedelic,experimental,chillwave,Czech
rascal flatts,1,country,rascal flatts,country pop,rock,pop
raspberries,1,rock,power pop,classic rock,spotify,Soundtrack
ratos de porão,1,hardcore,crossover,hardcore punk,punk,thrash metal
ratt,2,hard rock,Glam Metal,Glam Metal,80s,heavy metal
ravdina,1,female vocalist,russian,alternative metal,4,english
ray charles,2,jazz,soul,blues,rhythm and blues,piano
ray luzier,1,seen live,drums,Nu Metal,,
real madrid,1,spanish,football,hala madrid,seen live,soccer
reckless love,1,hard rock,glam rock,seen live,Glam Metal,finnish
red,3,alternative rock,christian rock,rock,hard rock,alternative
red fang,4,Stoner Rock,stoner metal,seen live,stoner,hard rock
red sun rising,2,hard rock,rock,post-grunge,seen live,psychill
redbone,1,classic rock,70s,rock,funk,oldies
reel big fish,1,ska,ska punk,seen live,punk,rock
refused,1,hardcore,punk,post-hardcore,hardcore punk,swedish
reignwolf,2,blues rock,Garage Rock,blues,canada,seen live
relic hearts,4,rock,alternative rock,post-hardcore,rv 2017,
renee phoenix,1,hard rock,rock,alternative rock,female vocalist,female vocal
rev theory,1,hard rock,rock,alternative rock,post-grunge,alternative
richie kotzen,1,rock,guitar virtuoso,hard rock,guitar,Fusion
riot,1,heavy metal,speed metal,Power metal,hard rock,metal
rise against,34,punk rock,punk,melodic hardcore,hardcore,seen live
rise of the northstar,1,hardcore,beatdown hardcore,beatdown,french,rapcore
rival sons,20,blues rock,hard rock,seen live,rock,classic rock
rivals,2,alternative rock,metalcore,rock,punk,hardcore
river plate,3,el mejor de argentina lejos,,,,
rob zombie,8,industrial metal,metal,industrial,hard rock,rock
robert delong,1,seen live,electronic,Drum and bass,electro,american
rock mafia,1,pop,indie,soul,rock,funk
rocken dogs,1,rock,hungarian,seen live,,
rockwell,1,Drum and bass,80s,pop,electronic,dance
rolling stones,7,classic rock,rock,60s,70s,rock'n'roll
roma,1,instrumental hip-hop,DarkLight,Milled Pavement,Hip-Hop,Hip-Hop
romes,1,indie pop,canada,funk,electronic,indie
ron gallo,2,Garage Rock,indie rock,blues,seen live,indie
ronda,1,pop,rock,alternative,alternative rock,folk
roy orbison,1,classic rock,oldies,rockabilly,60s,rock
royal blood,31,rock,alternative rock,Garage Rock,seen live,blues rock
royal republic,1,seen live,rock,swedish,hard rock,Garage Rock
rumatera,1,italian,rock,punk rock,rock boaro,punk
rupert holmes,1,pop,soft rock,70s,classic rock,one hit wonder
rush,2,Progressive rock,classic rock,hard rock,rock,Progressive
russkaja,9,seen live,ska,russian,ska punk,austrian
shvpes,1,metalcore,post-hardcore,alternative metal,alternative rock,metal
soil,1,metal,hard rock,Nu Metal,alternative metal,rock
sr-71,2,rock,punk rock,alternative,pop punk,punk
sun,1,funk,rock,alternative rock,soul,german
sabaton,2,Power metal,heavy metal,seen live,metal,swedish
said the whale,2,canada,indie,indie rock,indie pop,seen live
saint agnes,1,rock,UK,Garage Rock,london,seen live
saint asonia,1,alternative rock,post-grunge,hard rock,rock,alternative
saint motel,2,indie,indie rock,seen live,indie pop,american
saliva,2,hard rock,rock,Nu Metal,alternative rock,metal
sam fender,1,indie rock,seen live,british,rock,indie
sammy hagar,1,hard rock,rock,classic rock,heavy metal,metal
san lorenzo,1,rock,seen live,indie,punk,reggae
sandy e junior,1,pop,pop rock,dance,00s,brazil
sanitário sexy,1,rock,punk,ska,psychedelic,brazil
santa cruz,1,seen live,hard rock,Glam Metal,glam rock,finnish
santa esmeralda,1,Disco,latin,70s,Soundtrack,rock
saturno,1,black metal,Technical Death Metal,death metal,Italy,raw black metal
saytr play,2,indie pop,indie rock,,,
scalene,3,rock,hardcore,brazil,alternative rock,post-hardcore
scandal,1,J-rock,japanese,j-pop,rock,new wave
scars on broadway,4,alternative rock,alternative metal,rock,alternative,metal
scatolove,3,indie,brazil,pop rock,,
scott pilgrim,1,rock,,,,
seether,11,rock,alternative rock,hard rock,Grunge,alternative
selvagens à procura de lei,2,indie rock,indie,brazil,fortaleza,rock
septicflesh,1,death metal,symphonic death metal,atmospheric death metal,Melodic Death Metal,seen live
sepultura,3,thrash metal,metal,death metal,brazil,heavy metal
set it off,4,pop punk,Power pop,rock,alternative,seen live
seu cuca,1,rock,brazil,brazil,reggae,seu cuca
sex pistols,15,punk,punk rock,british,70s,rock
shaman's harvest,8,hard rock,rock,Southern Rock,alternative rock,post-grunge
sheafs,1,seen live,alternative rock,indie rock,post-punk,punk rock
shinedown,30,rock,hard rock,alternative rock,post-grunge,alternative
sick of it all,1,hardcore,seen live,nyhc,hardcore punk,punk
sick puppies,4,alternative rock,rock,alternative,hard rock,australian
sick tamburo,1,punk rock,post-punk,seen live,indie rock,female vocalist
silverchair,1,Grunge,rock,alternative rock,alternative,australian
silversun pickups,1,indie rock,indie,alternative,shoegaze,seen live
simple plan,7,rock,pop punk,punk rock,punk,emo
simpsons,1,children s-childrens,,,,
sin shake sin,3,alternative rock,rock,indie rock,american,music i tried but didnt like
sioux 66,2,rock,alternative,hard rock,brazil,brazil
sir sly,3,indie,electronic,indie rock,indie pop,rock
sixx a.m.,1,alternative rock,rock,melodic metal,male vocalist,great guitar and voice
skank,5,rock,brazil,pop rock,brazil,pop
skating polly,1,punk,punk rock,rock,riot grrrl,seen live
skid row,1,hard rock,heavy metal,Glam Metal,80s,rock
skillet,13,christian rock,alternative rock,rock,alternative,christian
skindred,2,reggae metal,metal,reggae,seen live,rapcore
slash,1,hard rock,rock,guitar,80s,seen live
slaves,15,post-hardcore,seen live,punk,alternative rock,rock
slayer,3,thrash metal,metal,seen live,speed metal,heavy metal
sleep token,1,Progressive metal,Progressive rock,alternative metal,DJENT,alternative rock
sleeping with sirens,6,post-hardcore,screamo,emocore,experimental,hardcore
slipknot,21,Nu Metal,metal,heavy metal,seen live,Nu-metal
smash into pieces,2,alternative rock,rock,hard rock,post-grunge,swedish
smash mouth,7,rock,alternative,alternative rock,ska,pop
social distortion,3,punk,punk rock,seen live,rockabilly,rock
sonata arctica,1,Power metal,metal,melodic metal,finnish,symphonic metal
sons of texas,1,seen live,hard rock,metal,Southern Rock,american
sorority noise,1,emo,indie rock,punk,indie,seen live
soulfly,1,thrash metal,metal,seen live,Nu Metal,metalcore
soundgarden,2,Grunge,rock,alternative rock,alternative,hard rock
spinal tap,3,heavy metal,hard rock,comedy,rock,metal
spinnerette,1,female vocalist,punk,alternative rock,punk rock,rock
spiritbox,3,metalcore,Progressive Metalcore,DJENT,Progressive metal,canada
stabbing westward,1,industrial,industrial rock,rock,alternative,alternative rock
starbenders,1,glam rock,punk,Garage Rock,garage,rock n roll
starset,1,alternative rock,electronic rock,space rock,electronic,rock
state champs,1,pop punk,Easycore,seen live,alternative rock,Pop-punk
static-x,2,industrial metal,metal,Nu Metal,industrial,rock
stealers wheel,1,classic rock,rock,70s,folk,oldies
steel panther,6,Glam Metal,hard rock,heavy metal,Glam Metal,seen live
steppenwolf,1,classic rock,rock,hard rock,60s,psychedelic
stereopony,1,J-rock,japanese,j-pop,anime,female vocalist
stevie nicks,1,female vocalist,classic rock,rock,singer-songwriter,80s
stevie ray vaughan,1,blues,blues rock,guitar,classic rock,rock
stevie wonder,1,soul,funk,motown,pop,rnb
stitched up heart,1,alternative rock,female vocalist,alternative metal,hard rock,alternative
stolen byrds,1,hard rock,brazil,brazil,rock brasil,Parana
stone sour,7,hard rock,metal,alternative metal,Nu Metal,rock
stone temple pilots,2,Grunge,rock,alternative rock,alternative,90s
story untold,9,pop punk,alternative,canada,punk,alternative rock
strange bones,2,punk,noise rock,indie,UK,Drum and bass
stray from the path,1,mathcore,hardcore,chaotic hardcore,metalcore,seen live
strike,6,rock,brazil,pop punk,hardcore,dance
stromae,1,electronic,dance,belgian,french,electronic
stu hamm,1,bass,instrumental rock,instrumental,virtuosos,guitar
suasion,1,metalcore,Progressive Metalcore,electronic,belgian,rock
sublime,1,ska,reggae,punk,rock,alternative
subsonica,1,italian,electronic,alternative,rock,seen live
sugar kane,1,hardcore,melodic hardcore,punk rock,brazil,punk
sum 41,30,punk rock,punk,pop punk,rock,alternative
sumo cyco,4,rock,hard rock,alternative,female vocalist,canada
supercombo,3,indie,rock,brazil,Power pop,indie rock
supergrass,1,britpop,indie,rock,british,alternative
survivor,1,rock,classic rock,80s,hard rock,AOR
sweet,2,glam rock,classic rock,70s,rock,hard rock
system of a down,23,metal,alternative metal,rock,Nu Metal,alternative
the s.l.p.,1,Hip-Hop,rock,british,alternative,indie rock
tx2,4,rock,alternative,post-hardcore,Trash,The King
take the day,1,pop punk,alternative metal,alternative rock,alt. metal,pop
taking back sunday,1,emo,rock,seen live,alternative,punk
talco,3,ska,ska punk,italian,seen live,ska-punk
taproot,1,Nu Metal,alternative rock,rock,alternative,metal
tarja turunen,1,symphonic metal,female vocalist,finnish,Female fronted metal,Classical
tasters,1,metalcore,electronic,hardcore,modern metal,italian
tenacious d,7,rock,comedy,hard rock,alternative rock,alternative
the all-american rejects,3,rock,alternative,pop punk,emo,punk
the amity affliction,2,post-hardcore,hardcore,australian,emocore,screamo
the animal in me,1,post-hardcore,female vocalist,electronic,melodic metalcore,metal
the animals,1,classic rock,60s,rock,british,oldies
the armed,1,mathcore,chaotic hardcore,hardcore,post-hardcore,punk
the avalanche,1,shoegaze,Norway,rock,norwegian,dreampop
the baggios,2,blues rock,rock,brazil,Blues Brasil,seen live
the band camino,1,alternative,indie rock,indie,seen live,pop
the beatles,20,classic rock,rock,british,60s,pop
the best of me,1,noisecore,seen live,great,awful,noisecole
the black cheetahs,1,electronic,alternative,noise rock,post-punk,Avant-Garde
the black crowes,2,rock,Southern Rock,blues rock,hard rock,classic rock
the black keys,12,blues rock,blues,rock,indie,indie rock
the black moods,1,rock,hard rock,american,Rock Music,arizona rock
the blue stones,2,blues rock,Garage Rock,rock,blues,canada
the blues brothers,1,blues,rhythm and blues,soul,Soundtrack,rock
the bombpops,2,punk rock,pop punk,punk,female vocalist,american
the cadillac black,1,blues rock,rock,country rock,american,Southern Rock
the casualties,4,punk,street punk,hardcore punk,punk rock,Oi
the chats,2,punk rock,punk,australian,Garage Rock,shed rock
the clash,6,punk,punk rock,british,rock,classic rock
the coasters,1,oldies,rock n roll,soul,60s,rockabilly
the cult,1,hard rock,rock,Gothic Rock,80s,classic rock
the damned things,1,hard rock,Southern Rock,rock,metal,alternative
the dandy warhols,1,indie,rock,alternative,indie rock,alternative rock
the darkness,1,rock,hard rock,glam rock,seen live,british
the dead daisies,2,hard rock,seen live,rock,classic rock,australia
the dead kennedys,1,punk,live,,,
the dead weather,4,Garage Rock,rock,alternative,Stoner Rock,jack white
the devil wears prada,1,metalcore,hardcore,screamo,Christian Metalcore,christian
the dirty youth,1,alternative rock,hard rock,female vocalist,rock,alternative
the distillers,3,punk,punk rock,female vocalist,rock,alternative
the donnas,1,rock,female vocalist,punk rock,punk,seen live
the dust coda,1,hard rock,metal,rock,,
the enemy,3,indie,indie rock,british,seen live,rock
the exploited,2,punk,hardcore punk,punk rock,street punk,hardcore
the foundations,1,oldies,soul,60s,motown,pop
the fratellis,1,indie,indie rock,british,rock,alternative
the greenhornes,1,Garage Rock,indie rock,rock,indie,alternative
the hu,3,folk metal,folk rock,mongolian,folk,rock
the heavy,3,funk,soul,indie,rock,blues
the hives,4,seen live,rock,Garage Rock,indie,swedish
the individuals,1,indie,soul,funk,60s garage,indie pop
the international noise conspiracy,1,indie rock,,,,
the interrupters,9,ska punk,ska,seen live,punk,punk rock
the isley brothers,1,soul,funk,motown,rhythm and blues,rnb
the jackson 5,2,soul,motown,pop,funk,70s
the jon spencer blues explosion,1,rock,blues rock,blues,seen live,alternative
the killers,1,indie,rock,indie rock,alternative,alternative rock
the kinks,1,classic rock,60s,rock,british,british invasion
the knack,1,rock,new wave,classic rock,power pop,80s
the kooks,1,indie,indie rock,british,britpop,seen live
the lazys,4,seen live,rock,hard rock,australian,punk rock
the letter black,1,alternative rock,female vocalist,hard rock,rock,alternative metal
the living end,8,seen live,punk,punk rock,australian,rockabilly
the longshot,2,pop punk,rock,american,punk,power pop
the magpie salute,2,Southern Rock,blues rock,rock,american,seen live
the marcels,1,oldies,doo wop,60s,rock n roll,rock n roll
the marvelettes,1,motown,soul,60s,female vocalist,oldies
the messenger birds,2,alternative rock,indie rock,Garage Rock,seen live,rock
the misfits,2,horror punk,punk,punk rock,80s,old school
the motorleague,1,seen live,rock,pop rock,punk rock,pop punk
the mysterines,1,rock,female vocalist,indie,alternative rock,indie pop
the mönic,1,punk,Grunge,alternative rock,,
the native howl,1,folk,bluegrass,rock,country,heavy metal
the nearly deads,1,rock,female vocalist,alternative,hard rock,pop rock
the neighbourhood,1,indie,indie rock,indie pop,rock,seen live
the offspring,15,punk rock,punk,rock,alternative,alternative rock
the one hundred,3,rapcore,metalcore,electronic,post-hardcore,Nu Metal
the orwells,1,Garage Rock,indie rock,indie,Lo-Fi,seen live
the pale white,4,indie rock,british,britpop,rock,seen live
the paranoyds,1,Garage Rock,punk rock,punk,american,garage
the phantoms,1,rockabilly,ska,russian,seen live,indie
the presidents of the usa,3,alternative rock,,,,
the pretty reckless,18,rock,alternative,female vocalist,post-grunge,indie rock
the qemists,2,Drum and bass,electronic,ninja tune,Drum and bass,dnb
